1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, LA)","GE RUNOFF ELECTION % (GA, LA)",COMBINED GE PARTY TOTALS (when applicable),COMBINED % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,,
45,AZ,Arizona,S,S0AZ00533,,Buzz,Stewart,"Stewart, Buzz",,W,,,,,22,0.00%,,,,,,,,,
46,AZ,Arizona,S,n/a,,"William ""Will""",Decker,"Decker, William ""Will""",,W,,,,,21,0.00%,,,,,,,,,
47,AZ,Arizona,S,S0AZ00459,,Adam,Chilton,"Chilton, Adam",,W,,,,,19,0.00%,,,,,,,,,
48,AZ,Arizona,S,S0AZ00491,,Benjamin,Rodriguez,"Rodriguez, Benjamin",,W,,,,,17,0.00%,,,,,,,,,
49,AZ,Arizona,S,n/a,,Frank,Saenz,"Saenz, Frank",,W,,,,,8,0.00%,,,,,,,,,
50,AZ,Arizona,S,S0AZ00145,,Barry,Hess,"Hess, Barry",,W(LIB),329,76.51%,,,,,,,,,,,,,
51,AZ,Arizona,S,S0AZ00426,,Alan,White,"White, Alan",,W(LIB),101,23.49%,,,,,,,,,,,,,
52,AZ,Arizona,S,n/a,,,,,Party Votes:,LIB,430,,,,,,,,,,,,,,
53,AZ,Arizona,S,n/a,,,,,Total State Votes:,,"1,400,086",,,,"3,355,317",,,,,,,,,,
54,,,,n/a,,,,,,,,,,,,,,,,,,,,,
55,AR,Arkansas,S,S4AR00103,(I),Tom,Cotton,"Cotton, Tom",,R,Unopposed,,,,"793,871",66.53%,,,,,W,W,,,
56,AR,Arkansas,S,S0AR00226,,"Ricky Dale, Jr.",Harrington,"Harrington, Ricky Dale, Jr.",,LIB,,,,,"399,390",33.47%,,,,,,,,,
57,AR,Arkansas,S,n/a,,,,,Total State Votes:,,,,,,"1,193,261",,,,,,,,,,
58,,,,n/a,,,,,,,,,,,,,,,,,,,,,
59,CO,Colorado,S,S0CO00575,,John W. ,Hickenlooper,"Hickenlooper, John W. ",,D,"585,826",58.65%,,,"1,731,114",53.50%,,,,,W,W,,,
60,CO,Colorado,S,S0CO00286,,Andrew,Romanoff,"Romanoff, Andrew",,D,"412,955",41.35%,,,,,,,,,,,,,
61,CO,Colorado,S,n/a,,,,,Party Votes:,D,"998,781",,,,,,,,,,,,,,
62,CO,Colorado,S,S4CO00395,(I),Cory,Gardner,"Gardner, Cory",,R,"554,806",100.00%,,,"1,429,492",44.18%,,,,,W,,,,
63,CO,Colorado,S,n/a,,,,,Party Votes:,R,"554,806",,,,,,,,,,,,,,
64,CO,Colorado,S,S0CO00674,,Raymon Anthony,Doane,"Doane, Raymon Anthony",,LIB,"4,365",62.82%,,,"56,262",1.74%,,,,,W,,,,
65,CO,Colorado,S,S4CO00403,,Gaylon,Kent,"Kent, Gaylon",,LIB,"2,583",37.18%,,,,,,,,,,,,,
66,CO,Colorado,S,n/a,,,,,Party Votes:,LIB,"6,948",,,,,,,,,,,,,,
67,CO,Colorado,S,S0CO00732,,Daniel,Doyle,"Doyle, Daniel",,APV,,,,,"9,820",0.30%,,,,,,,,,
68,CO,Colorado,S,S0CO00708,,"Stephen ""Seku""",Evans,"Evans, Stephen ""Seku""",,UPC,,,,,"8,971",0.28%,,,,,,,,,
69,CO,Colorado,S,S8CO00230,,Bruce,Lohmiller,"Lohmiller, Bruce",,W,,,,,71,0.00%,,,,,,,,,
70,CO,Colorado,S,S0CO00757,,Danny,Skelly,"Skelly, Danny",,W,,,,,55,0.00%,,,,,,,,,
71,CO,Colorado,S,S0CO00740,,Michael,Sanchez,"Sanchez, Michael",,W,,,,,5,0.00%,,,,,,,,,
72,CO,Colorado,S,n/a,,,,,Total State Votes:,,"1,560,535",,,,"3,235,790",,,,,,,,,,
73,,,,n/a,,,,,,,,,,,,,,,,,,,,,
74,DE,Delaware,S,S0DE00092 ,(I),Christopher A.,Coons,"Coons, Christopher A.",,D,"87,332",72.85%,,,"291,804",59.44%,,,,,W,W,,,
75,DE,Delaware,S,S0DE00175 ,,Jessica,Scarane,"Scarane, Jessica",,D,"32,547",27.15%,,,,,,,,,,,,,
76,DE,Delaware,S,n/a,,,,,Party Votes:,D,"119,879",,,,,,,,,,,,,,
77,DE,Delaware,S,S0DE00183,,Lauren,Witzke,"Witzke, Lauren",,R,"30,702",56.89%,,,"186,054",37.90%,,,,,W,,,,
78,DE,Delaware,S,S0DE00191,,"James ""Jim""",DeMartino,"DeMartino, James ""Jim""",,R,"23,266",43.11%,,,,,,,,,,,,,
79,DE,Delaware,S,n/a,,,,,Party Votes:,R,"53,968",,,,,,,,,,,,,,
