1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,,,,,
46,AL,Alabama,07,n/a,,,,,District Votes:,,,,,,"232,331",,,,,,,,,,,,,
47,AL,Alabama,H,n/a,,,,,Total State Votes:,,"414,657",,"199,348",,"2,051,659",,,,,,,,,,,,,
48,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,
49,AK,Alaska,00,H6AK00045,(I),Don,Young,"Young, Don",,R,"51,972",76.13%,,,"192,126",54.40%,,,,,W,W,,,,,,
50,AK,Alaska,00,H8AK01031 ,,"T. ""John""",Nelson,"Nelson, T. ""John""",,R,"12,344",18.08%,,,,,,,,,,,,,,,,
51,AK,Alaska,00,H6AK00268,,"Gerald L. ""Jer""",Heikes,"Heikes, Gerald L. ""Jer""",,R,"3,954",5.79%,,,,,,,,,,,,,,,,
52,AK,Alaska,00,n/a,,,,,Party Votes:,R,"68,270",,,,,,,,,,,,,,,,,
53,AK,Alaska,00,H8AK00140,,Alyse S.,Galvin,"Galvin, Alyse S.",,N(D)/D,"53,258",85.83%,,,"159,856",45.26%,,,,,W,,*  N(D) = Nonpartisan (Democratic Primary).  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.,,,,,
54,AK,Alaska,00,H0AK00113,,Ray Sean,Tugatuk,"Tugatuk, Ray Sean",,D,"4,858",7.83%,,,,,,,,,,,,,,,,
55,AK,Alaska,00,H6AK00243,,"William ""Bill""",Hibler,"Hibler, William ""Bill""",,D,"3,931",6.34%,,,,,,,,,,,,,,,,
56,AK,Alaska,00,n/a,,,,,Party Votes:,D,"62,047",,,,,,,,,,,,,,,,,
57,AK,Alaska,00,n/a,,,Scattered,Scattered,,W,,,,,"1,183",0.33%,,,,,,,,,,,,
58,AK,Alaska,00,n/a,,,,,District Votes:,,"130,317",,,,"353,165",,,,,,,,,,,,,
59,AK,Alaska,H,n/a,,,,,Total State Votes:,,"130,317",,,,"353,165",,,,,,,,,,,,,
60,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,
61,AS,American Samoa,00,H4AS00036,(I),Aumua,Amata,"Amata, Aumua",,R,,,,,"9,790",83.33%,,,,,,W,,,,,,
62,AS,American Samoa,00,H0AS01016,,Oreta Tufaga Mapu,Crichton,"Crichton, Oreta Tufaga Mapu",,D,,,,,"1,709",14.55%,,,,,,,,,,,,
63,AS,American Samoa,00,H4AS00093,,Meleagi ,Suitonu-Chapman,"Suitonu-Chapman, Meleagi ",,D,,,,,250,2.13%,,,,,,,,,,,,
64,AS,American Samoa,00,n/a,,,,,District Votes:,,,,,,"11,749",,,,,,,,,,,,,
65,AS,American Samoa,H,n/a,,,,,Total State Votes:,,,,,,"11,749",,,,,,,,,,,,,
66,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,
67,AZ,Arizona,01,H6AZ01199,(I),Tom,O'Halleran,"O'Halleran, Tom",,D,"47,083",58.61%,,,"188,469",51.61%,,,,,W,W,,,,,,
68,AZ,Arizona,01,H0AZ01358,,Eva,Putzova,"Putzova, Eva",,D,"33,248",41.39%,,,,,,,,,,,,,,,,
69,AZ,Arizona,01,n/a,,,,,Party Votes:,D,"80,331",,,,,,,,,,,,,,,,,
70,AZ,Arizona,01,H8AZ01237,,Tiffany,Shedd,"Shedd, Tiffany",,R,"40,310",54.67%,,,"176,709",48.39%,,,,,W,,,,,,,
71,AZ,Arizona,01,H0AZ01408,,Nolan,Reidhead,"Reidhead, Nolan",,R,"33,418",45.33%,,,,,,,,,,,,,,,,
72,AZ,Arizona,01,n/a,,,,,Party Votes:,R,"73,728",,,,,,,,,,,,,,,,,
73,AZ,Arizona,01,n/a,,,,,District Votes:,,"154,059",,,,"365,178",,,,,,,,,,,,,
74,AZ,Arizona,02,H8AZ01104,(I),Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,"77,517",76.33%,,,"209,945",55.10%,,,,,W,W,,,,,,
75,AZ,Arizona,02,H0AZ02281,,Peter,Quilter,"Quilter, Peter",,D,"24,035",23.67%,,,,,,,,,,,,,,,,
76,AZ,Arizona,02,n/a,,,,,Party Votes:,D,"101,552",,,,,,,,,,,,,,,,,
77,AZ,Arizona,02,H0AZ02190,,Brandon,Martin,"Martin, Brandon",,R,"31,730",42.51%,,,"170,975",44.87%,,,,,W,,,,,,,
78,AZ,Arizona,02,H0AZ02265,,Noran Eric,Ruden,"Ruden, Noran Eric",,R,"25,049",33.56%,,,,,,,,,,,,,,,,
